Module#,RF Direction Tx 0/Rx 1,Polarization V 0/H 1,PS deg,Atten dB
0,1,1,0,0
1,1,1,5.625,0.5
2,1,1,0,31
3,1,1,78.75,3.5
4,1,1,22.5,12.5
5,1,1,0,1
6,1,1,0,5
7,1,1,5.625,7
8,1,1,0,2
9,1,1,5.625,
10,1,1,0,0
11,1,1,78.75,0.5
12,1,1,22.5,31
13,1,1,0,3.5
14,1,1,0,12.5
15,1,1,5.625,1
16,1,1,0,5
17,1,1,5.625,7
18,1,1,0,2
19,1,1,78.75,
20,1,1,22.5,0
21,1,1,0,0.5
22,1,1,0,31
23,1,1,0,3.5
24,1,1,5.625,12.5
25,1,1,0,1
26,1,1,78.75,5
27,1,1,22.5,7
28,1,1,0,2
29,1,1,0,
30,1,1,5.625,0
31,1,1,0,0.5
32,1,1,5.625,31
33,1,1,0,3.5
34,1,1,78.75,12.5
35,1,1,22.5,1
36,1,1,0,5
37,1,1,0,7
38,1,1,5.625,2
39,1,1,0,
40,1,1,5.625,0
41,1,1,0,0.5
42,1,1,78.75,31
43,1,1,0,3.5
44,1,1,5.625,12.5
45,1,1,0,1
46,1,1,78.75,5
47,1,1,22.5,7
48,1,1,0,2
49,1,1,0,
50,1,1,5.625,0
51,1,1,0,0.5
52,1,1,5.625,31
53,1,1,0,3.5
54,1,1,78.75,12.5
55,1,1,22.5,1
56,1,1,0,5
57,1,1,0,7
58,1,1,5.625,2
59,1,1,0,
60,1,1,5.625,0
61,1,1,0,0.5
62,1,1,78.75,31
63,1,1,22.5,3.5
